SALES_ITEM_SK,SALES_ITEM_KEY,SALES_ITEM_DESC,SALES_ITEM_NM,SALES_ITEM_CATEGORY,PRODUCT_ITEM_NAME,PRODUCT_TYPE,MENU_TYPE,BUNDLE_TYPE,EVENT,DISCONTINUED_DATE,MODIFIED_TS,MEAT_BLOCK_FK,DIM_MARKET_FK
38,39602,LSM 6NUGET ML,6 Nuggets Meal (LSM),Non-COB Protein,Nugget,Permanent,LTO: LSM,Snacker,NULL,NULL,47:12.1,10,1
39,39603,LSM 2HC CKN ML,[Catering] 2pcs Meal,Chicken-on-bone,Classic COB,Permanent,Catering,Individual Meal,NULL,NULL,07:10.0,6,1
40,39606,LSM-2HC ML,2pcs Meal (LSM),Chicken-on-bone,Classic COB,Permanent,LTO: LSM,Individual Meal,NULL,NULL,07:10.0,6,1
41,39608,Popcorn Ckn (LSM),Popcorn Chicken (Coupon),Non-COB Protein,Popcorn Chicken,Permanent,LTO: LSM,Ala Carte,NULL,NULL,47:12.1,17,1
42,39609,Reg French Fries (LSM),1 French Fries (Reg),Sides,French Fries,Permanent,LTO: LSM,Ala Carte,NULL,NULL,07:10.0,1,1
43,44007,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
44,44008,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
45,44009,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
46,44010,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
47,44011,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
48,44012,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
49,44013,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
50,44019,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
51,44021,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
52,44022,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
53,44023,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
54,44024,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
55,44025,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
56,44026,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
57,44027,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
58,44028,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
59,44039,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
60,44041,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
61,44042,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
62,44043,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
63,44044,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
64,44045,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
65,44046,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
66,44047,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
67,44048,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
68,44049,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
69,44050,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
70,44051,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
71,44052,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
72,44053,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
73,44061,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
74,44062,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
75,44063,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
76,44064,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
77,44065,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
78,44066,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
79,44067,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
80,44068,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
81,44069,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
82,44086,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
83,44087,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
84,44088,Prefer Tango Spice Chicken,Prefer Tango Spice,Chicken-on-bone,Others,LTO,LTO: New Product Launch,Ala Carte,NULL,NULL,07:10.0,1,1
85,44096,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
86,44097,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
87,44098,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
88,44099,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
89,44100,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
90,44101,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
91,44102,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
92,44103,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
93,44111,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
94,44112,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
95,44113,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
96,44114,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
97,44115,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
98,44116,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
99,44117,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
100,44118,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
101,44126,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
102,44127,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
103,44128,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
104,44129,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
105,44130,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
106,44131,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
107,44132,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
108,44133,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
109,44141,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
110,44142,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
111,44143,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
112,44144,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
113,44145,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
114,44146,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
115,44147,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
116,44148,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
117,44156,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
118,44157,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
119,44158,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
120,44159,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
121,44160,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
122,44162,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
123,44163,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
124,44164,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
125,45014,Popcorn Ckn Snacker,1 Popcorn Snackers,Non-COB Protein,Popcorn Chicken,Permanent,Permanent: Value,Snacker,NULL,NULL,47:12.1,17,1
126,45034,4P BAN HVB NG,1 BBQ Pockett + 4pcs (COB) Variety Box,Portables,BBQ Pockett Bandito,Permanent,Permanent: Standard,Group Meal,NULL,NULL,07:10.0,6,1
127,45035,4P MELTZ HVB NG,1 BBQ Meltz + 4pcs (COB) Hearty Variety Box,Portables,BBQ Meltz,Permanent,Permanent: Standard,Group Meal,NULL,NULL,07:10.0,6,1
128,45036,4P ZG HVB NG,1 Zinger + 4pcs (COB) Hearty Variety Box,Portables,Zinger Burger,Permanent,Permanent: Standard,Group Meal,NULL,NULL,07:10.0,6,1
129,45100,Wing Snacker,Wing Snackers,Chicken-on-bone,Chicken Wing (COB),Permanent,Permanent: Value,Snacker,NULL,NULL,53:55.1,21,1
130,45102,4pcs Nugget Snacker,4pcs Nuggets Snackers,Non-COB Protein,Nugget,Permanent,Permanent: Value,Snackers,NULL,NULL,47:12.1,10,1
131,45104,2pcs Crispy Tenders Snacker,2pcs Tender Snackers,Non-COB Protein,Hot & Crispy Tender,Permanent,Permanent: Value,Snacker,NULL,NULL,07:10.0,16,1
132,50006,Cheese Slice,Sliced Cheese,Sides,Sauces/Dressing,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
133,50011,AO CHEESE FRIES,1 Cheese Fries,Sides,Cheese Fries,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
134,50013,Cheese,Sliced Cheese,Sides,Sauces/Dressing,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
135,50014,AO Cheese Sauce,Cheese Sauce,Sides,Sauces/Dressing,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
136,60001,Zinger Meal(S),1 Zinger Meal,Portables,Zinger Burger,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,13,1
137,60003,BBQ Meltz Student Meal,1 BBQ Meltz,Portables,BBQ Meltz,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,15,1
138,60006,Bandito Student Meal,1 BBQ Pocket Meal,Portables,BBQ Pockett Bandito,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,13,1
139,60010,2pcs Student Meal,2pcs Meal (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,6,1
140,75001,BBQ Meltz,1 BBQ Meltz,Portables,BBQ Meltz,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,15,1
141,75004,Popcorn Ckn (Large),1 Popcorn Chicken (Large),Non-COB Protein,Popcorn Chicken,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,47:12.1,17,1
142,75005,Cheese Fries,1 Cheese Fries,Sides,Cheese Fries,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
143,75007,Bandito,1 BBQ Pockett,Portables,BBQ Pockett Bandito,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,13,1
144,75022,Egg Tart,1 Egg Tart,Sides,Egg Tart,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
145,75027,R.B. (OR),1 Original Rice Bowl,Bowls & Rice,Original Rice Bowl,Permanent,Permanent: Value,Ala Carte,NULL,NULL,47:12.1,17,1
146,75028,FTC-R FRIES,1 French Fries,Sides,French Fries,Permanent,LTO: Disruptive Value,Ala Carte,NULL,NULL,07:10.0,1,1
147,75030,6pcs Nugget,6pcs Nuggets,Non-COB Protein,Nugget,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,47:12.1,10,1
148,75031,20pcs Nugget,20pcs Nuggets,Non-COB Protein,Nugget,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,47:12.1,10,1
149,75038,6pcs Egg Tart,6 Egg Tarts,Sides,Egg Tart,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
150,75040,4P TENDERS,4pcs Tenders,Non-COB Protein,Hot & Crispy Tender,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,16,1
151,75041,10P TENDERS,10pcs Tenders,Non-COB Protein,Hot & Crispy Tender,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,16,1
152,75043,Egg Tart,1 Egg Tart,Sides,Egg Tart,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
153,80001,Shrooms Burger,1 Shrooms Burger,Portables,Shrooms Burger,Permanent,Permanent: Value,Ala Carte,NULL,NULL,07:10.0,15,1
154,80003,OR Fillet Burger,1 Colonel Burger,Portables,Colonel Burger,Permanent,Permanent: Value,Ala Carte,NULL,NULL,07:10.0,15,1
155,80005,Zinger,1 Zinger Burger,Portables,Zinger Burger,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,13,1
156,80012,Fish Ole Burger,1 Fish Ole Burger,Portables,Fish Ole Burger,LTO,LTO: Occasional,Ala Carte,NULL,NULL,07:10.0,1,1
157,80015,Caesar,1 Caeser Roast,Portables,Caesar Roast,LTO,LTO: Occasional,Ala Carte,NULL,NULL,07:10.0,1,1
158,80016,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
159,100001,Reg French Fries,1 French Fries (Reg),Sides,French Fries,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
160,100002,Med French Fries,1 French Fries (Med),Sides,French Fries,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
161,100003,Large French Fries,1 French Fries (Large),Sides,French Fries,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
162,100004,Reg Whipped Potato,1 Whipped Potato (Reg),Sides,Whipped Potato,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
163,100005,Med Whipped Potato,1 Whipped Potato (Med),Sides,Whipped Potato,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
164,100006,W/POTATO (L),1 Whipped Potato (Large),Sides,Whipped Potato,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
165,100007,Reg Coleslaw,1 Coleslaw (Reg),Sides,Coleslaw,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
166,100008,Med Coleslaw,1 Coleslaw (Medium),Sides,Coleslaw,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
167,100009,COLESLAW (L),1 Coleslaw (Large),Sides,Coleslaw,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
168,200002,Pepsi (R),Pepsi (Reg),Beverage,Pepsi,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
169,200003,Pepsi (M),Pepsi (Med),Beverage,Pepsi,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
170,200004,Pepsi (L),Pepsi (L),Beverage,Pepsi,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
171,200005,Rootbeer (R),Rootbeer (Reg),Beverage,Rootbeer,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
172,200006,Rootbeer (M),Rootbeer (Med),Beverage,Rootbeer,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
173,200007,Rootbeer (L),Rootbeer (L),Beverage,Rootbeer,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
174,200008,Mountain Dew (R),Mountain Dew (Reg),Beverage,Mountain Dew,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
175,200009,Mountain Dew (M),Mountain Dew (Med),Beverage,Mountain Dew,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
176,200010,Mountain Dew (L),Mountain Dew (L),Beverage,Mountain Dew,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
177,200011,Ice Lemon Tea(R),Iced Lemon Tea (Reg),Beverage,Iced Lemon Tea,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
178,200012,Ice Lemon Tea(M),Iced Lemon Tea (Med),Beverage,Iced Lemon Tea,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
179,200013,Ice Lemon Tea(L),Iced  Lemon Tea (L),Beverage,Iced Lemon Tea,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
180,200020,ICED MILO (R),Iced Milo (Reg),Beverage,Milo,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
